s.index,Longitude,Latitude,utmx,utmy,yo3,xmaxtemp,xwdsp,xrh
1,-73.757,42.681,601838.084376672,4726140.30758887,45.0806451612903,27.531844600904,4.14208290064823,3.6867368532146
2,-73.881,40.866,594300.826088067,4524484.51611157,48.3475806451613,29.6029368147703,5.66620197238412,3.47813011333015
3,-79.587,42.291,121812.69156116,4692284.57533443,54.6567741935484,26.2878006654283,5.74275105295602,3.95014470959206
4,-76.802,42.111,351019.767811528,4663671.81440344,44.9577419354839,27.4472510896712,4.84287207034639,3.69999588640396
5,-73.743,41.782,604457.264713166,4626335.92727372,43.9290322580645,28.2755468066292,4.42705309527883,3.69844639300244
6,-78.771,42.993,192581.291655568,4766941.24559426,55.3772580645161,26.6181335633903,6.14642813955665,3.86997102897656
7,-73.903,44.366,587408.664321077,4913110.10393737,51.0858928571429,26.0461601077761,4.37624396327987,3.71436610781012
8,-73.859,44.393,590872.80657928,4916157.03238249,44.1366129032258,26.0736173547442,4.37082162535482,3.7111420787741
9,-74.516,43.45,539160.954698241,4810902.25658709,44.8235483870968,26.6282127190451,4.49065632711054,3.76125092981113
10,-74.985,43.686,501208.935916719,4836998.62374087,41.2490322580645,26.3558312604484,4.76430473791069,3.81425987435451
11,-75.973,44.087,422104.545511789,4881996.01316235,45.8664516129032,26.0487770488259,5.18982958448658,3.9176064826249
12,-75.784,42.73,435818.201685621,4731130.43174402,45.8855737704918,26.7886170540305,4.97331543753524,3.78742660744525
13,-78.479,43.224,217453.718850739,4791568.58832031,48.9322580645161,26.5410992629361,6.02014773261827,3.86770345886451
14,-76.059,43.052,413755.138832238,4767133.47054733,46.3176666666667,26.5709056812131,5.03849227346148,3.87481841170097
15,-74.215,41.524,565494.331963854,4597226.13181023,49.965,28.5555807547587,4.51753860665911,3.66209798679397
16,-73.708,41.442,607931.207737044,4588630.63973749,48.1838709677419,28.6233253321179,4.75667762664349,3.68580427092173
17,-73.649,43.012,610097.077148631,4763032.90299213,45.6453225806452,27.171429097363,4.02986179715278,3.73579444028633
18,-73.94,42.8,586678.937286555,4739150.3351813,39.875,27.4412699903363,4.20776956947087,3.68999583492571
19,-73.419,40.746,633476.189453378,4511763.431435,54.2515,29.1658156646853,6.06188051024332,3.66912290608504
20,-72.713,40.961,692460.812664498,4536946.4435236,57.5955,28.3527161659979,5.9602830541511,3.91527132968773
21,-74.494,42.144,541811.159210565,4665888.46538103,48.3133870967742,27.6118189913606,4.39226595263054,3.69709261037227
22,-77.174,43.231,323463.41565489,4788762.05283309,46.1414516129032,26.4790608393073,5.34063537664588,3.89633152487985
23,-73.764,41.052,603868.876859175,4545265.42143867,52.9959649122807,29.2031450446852,5.39050202210532,3.57820013822052
24,-76.654,42.401,363881.28260211,4695625.39134161,48.1608333333333,27.1283070959206,4.98702603277336,3.77521916434185
25,-73.902,40.816,592600.642554357,4518911.64037247,44.3535483870968,29.6963210187161,5.74277732000245,3.45453925544289
26,-75.719,43.3,441681.325173135,4794381.1226268,39.1806451612903,26.4742021881715,5.01377925650271,3.87154381352331
27,-73.057,40.827,663840.415307347,4521369.31672875,52.8055737704918,28.7038722788537,6.09076852565177,3.8279524368739
28,-73.823,40.736,599382.463468315,4510117.41856613,52.3981355932203,29.6973037770352,5.96641342698656,3.47922171972971
